		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
110101000    2    2    1    1    0    0    0    2  9.432023 0.307171 SUCCESS 109
110101010    1    2    0    2    2    5    3    3  6.671567 0.572447 SUCCESS 110
110101100    3    1    1    1    2    5    0    4  9.150681 0.329745 SUCCESS 111
110110000    1    0    0    2    1    2    2    0  9.432023 0.307171 SUCCESS 112
110110010    1    3    5    4    6    3    1    0 13.764680 0.088109 SUCCESS 113
110110100    3    0    4    3    2    4    2    2  5.102675 0.746548 SUCCESS 114
110111000    3    3    1    0    0    0    1    0 11.974025 0.152367 SUCCESS 115
110111010    1    5    2    7    4    1    3    3 14.800679 0.063139 SUCCESS 116
110111100    4    5    3    2    2    4    4    4  7.300448 0.504591 SUCCESS 117
111000000    0    0    1    0    0    1    0    0 16.680701 0.033611 SUCCESS 118
111000010    0    1    0    0    0    0    0    1 16.680701 0.033611 SUCCESS 119
111000100    2    1    0    1    2    0    0    0 11.848249 0.158104 SUCCESS 120
111000110    2    2    4    1    1    1    1    0  7.141573 0.521438 SUCCESS 121
111001000    3    1    0    2    1    2    0    0  9.494911 0.302279 SUCCESS 122
111001010    3    2    2    0    4    1    2    2  4.851122 0.773363 SUCCESS 123
111001100    0    5    3    1    1    2    1    0 10.593797 0.225794 SUCCESS 124
111010000    0    0    1    0    0    0    1    1 15.048921 0.058201 SUCCESS 125
111010010    1    0    0    4    1    1    4    4 10.719573 0.218100 SUCCESS 126
111010100    3    2    2    3    3    2    0    4  4.192453 0.839356 SUCCESS 127
111010110    6    3    7    5    4    4    5    5 24.938899 0.001592 FAILURE 128
111011000    1    0    2    4    4    3    2    1  6.608679 0.579380 SUCCESS 129
111011010    3    3    8    4    6    5    4    6 29.175570 0.000295 FAILURE 130
111011100    6    3    2    3    1    0    3    5 12.070012 0.148107 SUCCESS 131
111100000    0    0    1    0    0    2    1    0 14.264475 0.075127 SUCCESS 132
111100010    1    1    0    1    3    1    3    0  8.710465 0.367306 SUCCESS 133
111100100    4    2    1    3    3    2    1    1  4.066676 0.851058 SUCCESS 134
111100110    3    9    7    3    2    0    5    3 32.972024 0.000062 FAILURE 135
111101000    0    2    1    2    0    3    2    3  6.357126 0.607295 SUCCESS 136
111101010    4    3    4    4    3    9    3    6 27.292238 0.000629 FAILURE 137
111101100    4    6    6    8    9    5    3    1 47.158251 0.000000 FAILURE 138
111101110   10    5    7    8   10    4    7   10 107.666515 0.000000 FAILURE 139
111110000    0    1    1    1    0    3    1    2  8.647577 0.372892 SUCCESS 140
111110010    7    5    3    2    4    7    3    3 22.082457 0.004765 FAILURE 141
111110100    3    2    3    4    2    4    5    9 23.651349 0.002621 FAILURE 142
111110110   10   10   12    9   18    9   11    9 276.289319 0.000000 FAILURE 143
111111000    1    3    2    3    3    4    1    2  3.345118 0.910872 SUCCESS 144
111111010    7    9   10    9    7   12    7   19 242.740183 0.000000 FAILURE 145
111111100    7    9   12    7    6   11    9    5 132.553645 0.000000 FAILURE 146
111111110   17   21   20   20   19   16   21   24 1035.666204 0.000000 FAILURE 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    0    0    0    1    0    0 18.312482 0.019002 SUCCESS   0
000000011    1    0    0    0    0    1    0    0 16.680701 0.033611 SUCCESS   1
000000101    0    0    0    0    0    0    1    0 18.312482 0.019002 SUCCESS   2
000000111    1    0    1    0    0    0    0    0 16.680701 0.033611 SUCCESS   3
000001001    0    0    0    0    1    0    0    0 18.312482 0.019002 SUCCESS   4
000001011    0    0    0    0    0    0    1    1 16.680701 0.033611 SUCCESS   5
000001101    1    0    0    0    0    1    0    0 16.680701 0.033611 SUCCESS   6
000001111    1    1    0    1    0    2    1    2  8.584688 0.378532 SUCCESS   7
000010001    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   8
000010011    0    2    0    2    0    0    0    0 15.111809 0.057008 SUCCESS   9
000010101    0    0    0    0    1    0    0    1 16.680701 0.033611 SUCCESS  10
000010111    1    1    0    1    1    0    0    0 13.417141 0.098280 SUCCESS  11
000011001    0    0    0    0    0    1    0    0 18.312482 0.019002 SUCCESS  12
000011011    1    0    0    0    2    1    0    0 14.264475 0.075127 SUCCESS  13
000011101    1    0    1    3    0    1    2    1  8.647577 0.372892 SUCCESS  14
000011111    2    1    2    1    3    2    2    2  2.246232 0.972517 SUCCESS  15
000100011    0    0    1    0    0    0    0    0 18.312482 0.019002 SUCCESS  16
000100101    1    0    1    0    1    0    0    1 13.417141 0.098280 SUCCESS  17
000100111    1    2    0    2    1    0    0    1 10.216469 0.250160 SUCCESS  18
000101001    0    0    1    0    0    0    0    0 18.312482 0.019002 SUCCESS  19
000101011    0    0    1    1    2    1    0    2 10.216469 0.250160 SUCCESS  20
000101101    0    1    1    0    1    2    1    1  9.369135 0.312119 SUCCESS  21
000101111    2    2    0    3    1    0    2    1  7.078684 0.528168 SUCCESS  22
000110011    1    0    0    0    0    1    1    0 15.048921 0.058201 SUCCESS  23
